CODENT;B04;C01a;C01b;C01c;C01d;C01e;C02a;C02b;C02c;C02d;C02e;C02f;C02g;C02h;C03a;C03b;C03c;C03d;C03e;C03f;C03g;C03h;C04a;C04b;C04c;C04d;C04e;C04f;C04g;C04h;C04i;C04j;C04k;C04l;C05a;C05b;C05c;C05d;C05e;C05f;C06a;C06b;C06c;C06d;C07a;C07b;C07c;C07d;C07e;C07f;C07g;C08a;C08b;C08c;C09a;C09b;C09c;C09d;C09e;C10a;C10b;C10c;C10d;C10e;C11a;C11b;C11c;C11d;C11e;C11f;C12a;C12b;C12c;C12d;C12e;C13a;C13b;C13c;C13d;C13e;C13f;C13g;C13h;C13i;C13j;C13k;C14;D01a;D01b;D01c;D01d;D01e;D02;D03a;D03b;D03c;D04;D05a;D05b;D05c;D05d;D06a;D06b;D06c;D06d;E01;E02a;E02b;E02c;E02d;E03a;E03b;E04a;E04b;E04c;E04d;E04e;E04f;E04g;E04h;E04i;E04j;E04k;E05;E06;E07;E08;E09;E10a;E10b;E10c;E10d;E10e;E10f;E10g;E10h;E10i;E10j;E10k;E11a;E11b;E11c;E11d;F01a;F01b;F01c;F01d;F01e;F02a;F02b;F02c;F02d;F02e;F03a;F03b;F03c;F03d;F03e;G01a;G01b;G01c;G01d;G01e;G01f;G01g;G01h;G01i;G02;G03;H01a;H01b;H01c;H01d;H01e;H01f;H02;H03a;H03b;H03c;H03d;H03e;H04a;H04b;H04c;H04d;H04e;H04f;H04g;H04h;H04i;H05;H06a;H06b;H06c;H06d;H06e;H07a;H07b;H07c;H07d;H07e;H07f;H08a;H08b;H08c;H08d;I01a;I01b;I01c;I01d;I01e;I01f;I01g;I02a;I02b;I02c;I02d;I03a;I03b;I03c;I03d;I03e;J01a;J01b;J01c;J01d;J02;J03a;J03b;J03c;J03d;J04a;J04b;J04c;J05a;J05b;J05c;K01a;K01b;K01c;K02a;K02b;K02c;K02d;K02e;L01a;L01b;L01c;L02a;L02b;L02c;L02d;FEXPFINAL
701;1;4;4;4;4;5;5;4;4;4;4;4;4;5;5;5;5;5;4;5;4;2;4;5;5;5;4;4;4;4;4;5;2;4;4;4;4;2;4;4;4;4;4;4;5;5;4;4;4;5;5;4;5;5;4;4;4;4;5;2;2;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;2;4;2;1;1;1;1;5;5;5;5;5;5;5;5;1;4;5;5;5;5;5;4;4;4;5;5;5;5;5;5;5;5;2;8;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;4;5;4;5;1;1;1;1;1;1;1;1;2;1;4;5;5;4;4;4;4;2;4;1;3;5;4;5;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;5;5;5;5;5;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;4;4;5;4;4;4;4;5;4;5;4;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;2;2;2;2;2,588235294
701;2;4;2;5;4;4;5;5;4;5;4;4;2;5;4;5;5;5;4;5;4;4;4;5;2;4;4;4;5;4;5;5;1;5;5;5;5;4;2;5;5;4;5;4;4;4;5;5;5;5;5;9;9;9;5;4;1;4;9;2;1;1;1;2;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;4;5;5;4;4;2;2;9;2;1;5;5;5;5;5;5;5;5;1;4;4;1;1;1;1;5;4;5;9;4;5;5;4;5;9;4;2;5;2;2;5;2;2;9;2;2;2;2;2;2;9;2;2;2;2;2;4;4;4;2;4;1;1;1;2;1;2;1;1;1;2;5;5;1;5;4;2;4;4;2;1;1;4;5;4;5;4;5;1;1;1;1;2;2;1;1;1;1;1;2;1;1;2;4;4;5;5;5;5;2;4;5;4;5;4;5;5;1;5;2;5;5;5;5;5;5;4;4;5;4;5;5;5;5;2;5;5;5;5;1;5;5;5;2;5;5;5;5;5;5;5;5;4;5;2;5;2;5;5;5;4;2;2;1;2;2,588235294
701;1;5;5;4;5;5;5;5;5;4;5;4;4;5;5;5;4;5;4;5;5;4;5;5;4;5;4;4;4;4;5;5;2;2;5;5;5;5;5;5;5;4;5;4;4;4;5;4;4;4;5;5;5;5;9;9;9;4;9;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;4;4;4;4;2;1;1;1;1;5;5;5;5;5;5;5;5;1;5;5;5;5;9;4;5;5;5;4;4;4;4;4;5;5;5;7;8;1;1;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;4;4;1;1;1;1;1;1;1;1;1;1;4;4;5;5;4;5;5;5;5;5;1;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;5;5;5;5;5;2;4;4;5;5;4;5;5;5;5;4;4;5;4;5;4;5;5;5;5;5;4;5;4;4;4;5;4;4;4;1;5;5;5;5;5;5;5;5;5;5;2;4;4;5;5;5;5;5;4;4;4;1;1;1;1;2,588235294
701;2;5;5;5;4;4;5;5;5;4;4;5;4;5;5;5;5;4;5;5;5;5;5;4;5;4;4;5;5;5;5;5;4;5;5;4;5;4;5;5;4;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;4;2;1;1;1;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;4;4;4;5;2;1;2;1;1;5;5;5;5;5;5;5;5;1;5;5;4;5;4;4;5;5;5;5;5;5;5;5;5;5;5;2;8;1;1;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;4;4;5;5;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;5;5;5;5;3;2;5;5;5;4;4;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;5;5;5;5;5;2;4;4;4;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;4;4;4;5;5;5;5;5;5;5;5;2; ; ; ; ; ; ; ; ; ; ;5;4;5;5;4;5;4;4;5;5;5;1;2;2;2;2,588235294
701;2;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;4;5;4;5;5;5;5;5;5;5;5;5;5;5;9;5;4;9;9;4;9;9;1;1;1;2;1;2;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;2;5;2;9;9;2;1;5;5;5;5;5;5;5;5;1;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;2;8;2;2;5;2;2;2;2;2;2;2;2;2;2;9;2;2;2;2;5;5;5;5;5;1;1;1;1;1;1;1;2;1;1;5;5;5;5;5;5;5;5;5;2;1;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;5;5;5;5;5;2;4;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2; ; ; ; ; ; ; ; ; ; ;5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;2,588235294
701;1;5;5;5;5;5;5;1;2;5;1;1;1;5;5;5;2;2;4;4;4;4;5;2;1;5;5;1;5;5;5;5;1;5;5;2;2;1;9;1;5;5;5;9;9;9;9;9;9;9;9;9;5;5;9;9;9;5;9;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;5;5;5;2;9;9;1;1;9;5;9;9;9;9;9;5;1;5;5;5;4;9;9;9;9;9;9;9;9;9;9;9;9;9;2;8;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;9;1;1;1;1;2;2;2;2;1;1;5;9;4;9;9;5;5;5;5;2;1;9;5;9;5;9;9;1;2;1;2;1;2;1;1;1;1;2;1;2;2;2;3;5;5;4;5;5;1;5;5;5;5;2;2;5;1;4;5;9;5;5;5;1;1;1;9;9;9;9;5;5;9;9;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;9;9;5;5;9;4;9;9;2;2;2;2;2,588235294
701;2;4;4;4;2;5;5;4;4;4;4;4;4;4;5;4;4;2;4;4;4;4;2;4;2;2;2;2;5;4;5;5;2;2;9;4;4;4;4;5;4;4;4;4;4;4;4;4;4;5;5;4;4;4;4;4;4;4;4;1;1;1;2;2;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;4;4;4;4;2;2;2;2;1;5;5;5;5;5;5;5;5;1;4;4;2;4;9;9;4;5;5;4;4;4;5;4;4;4;5;2;6;1;1;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;1;1;1;1;1;2;2;1;1;1;4;4;2;4;5;2;4;2;2;5;1;4;4;5;4;4;4;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;3;4;5;4;4;4;2;4;4;4;4;4;5;5;4;5;4;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;5;5;5;1;4;4;5;4;5;5;5;4;4;5;4;4;4;4;4;4;4;9;4;4;5;1;2;1;1;2,588235294
701;2;4;4;4;5;4;5;4;4;4;4;4;4;5;5;5;4;5;4;5;5;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;2;4;4;9;4;4;4;4;4;4;9;9;9;9;4;4;4;2;4;9;9;9;1;1;1;2;1;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;4;4;2;2;1;1;1;2; ; ; ; ; ; ; ; ;1;5;4;2;4;4;4;5;5;5;4;5;5;5;5;5;5;5;3;8;1;1;5;2;2;2;2;2;2;2;2;2;2;2;9;2;2;2;4;4;4;4;4;1;1;1;1;1;2;1;1;1;1;5;5;5;5;5;5;5;5;5;1;1;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;4;4;4;5;5;2;4;4;4;4;4;4;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ;4;4;4;4;4;4;9;4;4;4;4;1;1;1;1;2,588235294
701;2;4;4;4;5;4;4;4;5;5;5;4;4;4;5;4;5;4;4;5;5;4;4;4;4;5;4;4;4;4;5;4;4;4;4;4;4;1;4;4;4;4;4;5;4;4;2;9;9;9;9;4;9;1;1;1;2;9;9;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;1;1;1;1;2; ; ; ; ; ; ; ; ;1;5;5;4;4;4;4;9;9;9;9;9;5;5;5;5;5;5;3;8;1;1;8;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;4;4;4;4;4;1;1;1;1;1;1;1;2;2;1;4;2;4;4;4;5;5;5;5;1;2;9;4;4;5;9;9;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;4;5;5;5;5;2;2;4;4;5;4;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;4;4;4;4;1;5;4;4;4;4;4;4;4;4;4;9;9;5;4;5;5;9;9;9;9;9;2;2;2;2;2,588235294
701;1;2;2;4;2;2;4;4;4;4;4;4;4;4;5;5;4;2;2;2;2;2;2;4;2;4;2;2;5;2;2;4;1;1;4;4;4;2;4;2;4;2;2;2;4;5;4;4;4;4;5;4;4;4;9;9;9;9;9;1;2;2;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;4;4;4;2;1;9;9;1;5;5;5;5;4;4;4;5;1;2;2;2;2;9;9;9;9;9;4;4;4;4;4;4;4;4;7;8;1;1;8;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;4;2;4;1;1;1;1;1;2;1;1;1;1;4;9;4;4;4;4;4;4;4;2;2;4;4;4;4;2;4;1;1;1;1;2;2;1;1;1;1;1;2;2;2;2;2;2;5;2;4;4;2;2;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;9;9;9;4;9;4;4;4;4;4;4;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;9;9;4;4;9;4;4;4;1;2;2;2;2,588235294
